English;adcovtle;Notes (adcovtle);Data Comprehension (adcovtle);Part of Speech (adcovtle);Difficulty (adcovtle);we;Notes (we);Data Comprehension (we);Avamants Logetavys;Notes (Avamants Logetavys);Data Comprehension (Avamants Logetavys);Šelva Enkan;Notes (Šelva Enkan);Data Comprehension (Šelva Enkan);Wàmèrìʒá;Notes (Wàmèrìʒá);Data Comprehension (Wàmèrìʒá);Quərfi;Notes (Quərfi);Data Comprehension (Quərfi);Proto-Kwerfia;Notes (Proto-Kwerfia);Data Comprehension (Proto-Kwerfia);Senta Grèstilsa;Notes (Senta Grèstilsa);Data Comprehension (Senta Grèstilsa);Mēeu Gēo;Notes (Mēeu Gēo);Data Comprehension (Mēeu Gēo);Ongrèstilsa;Notes (Ongrèstilsa);Data Comprehension (Ongrèstilsa);Qsek'a;Notes (Qsek'a);Data Comprehension (Qsek'a);B´andve;Notes (B´andve);Data Comprehension (B´andve);Opetfi;Notes (Opetfi);Data Comprehension (Opetfi);Cjëmta;Notes (Cjëmta);Data Comprehension (Cjëmta);Fashiikéfa;Notes (Fashiikéfa);Data Comprehension (Fashiikéfa);peküzhí Nakiwá;Notes (peküzhí Nakiwá);Data Comprehension (peküzhí Nakiwá);Łok'aqe;Notes (Łok'aqe);Data Comprehension (Łok'aqe);Q'ucnaimxk'uł7;Notes (Q'ucnaimxk'uł7);Data Comprehension (Q'ucnaimxk'uł7);Dreeenuce;Notes (Dreeenuce);Data Comprehension (Dreeenuce);Wilakana;Notes (Wilakana);Data Comprehension (Wilakana);Çalbaça;Notes (Çalbaça);Data Comprehension (Çalbaça);Ligu magyk;Notes (Ligu magyk);Data Comprehension (Ligu magyk);Proto-North-Ovøta;Notes (Proto-North-Ovøta);Data Comprehension (Proto-North-Ovøta);çymtoçamao - 5000 BC;Notes (çymtoçamao - 5000 BC);Data Comprehension (çymtoçamao - 5000 BC);çyntoçana - 2000 BC;Notes (çyntoçana - 2000 BC);Data Comprehension (çyntoçana - 2000 BC);Proto-Çuço;Notes (Proto-Çuço);Data Comprehension (Proto-Çuço);Çúaço aʃoevújaço;Notes (Çúaço aʃoevújaço);Data Comprehension (Çúaço aʃoevújaço);Español;Français;last column (leave blank and insert to left)
ocean;adgli;;adgli;noun;;adax;;adax;ætægəly;;ætægəly;;;;;;;;;;;;;;;;;;;;;;qsek'a;;qsek'a;;;;;;;;;;vinpéshéé;;vinpéshéé;ma inóka;go yazhiká;ma inoka;;;;;;;;;;;;;;;;;;;;;;ɲamo;;ɲamo;ɲano;;ɲano;;;;;;;;;
great lake;jaðitem;;jaðitem;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
interior sea;jaðitem;;jaðitem;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
young;jev;;jev;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;vej;;vej;adjective;;;;;;;;;;;èrèmà;;erema;ferm;;ferm;ferma ;;ferma ;;;;;;;;;;;;;;;;;;;;;;;;;wégu;;wegu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rock;þod;;þod;noun;;;;;tsodə;;tsodə;khanke;;khanke;hólù;inanimate, -t;holu;həli;inanimate, -;həli;holie;inanimate;holie;tyf;;tyf;toifo;;toifo;tyfel;;tyfel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
port;;;;;;;;;;;;;;;;;;;;;;;;ište;;ište;itēa;;itēa;iteša;;iteša;;;;;;;;;;;;;;;;;;;;;;q'unx7ul;also name of only port city;q'unx7ul;;;;pa;;pa;;;;;;;;;;;;;;;;;;;;;;;;
land where is spoken, also country;;;;;;;;;;;;;;;;;;;;;;;;grès;;grès;gēo;;gēo;grésent;;grésent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çaju;;çaju;çaʝy;;çaʝy;;;;;;;;;
I;;;;;;;;;;;;;;;;;;;;;;;;e;;e;ie;;ie;íe;(male);íe;;;;;;;mo;(male);mo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;;;;;;;;;;;;;;;;;;;;;;;;ís;;ís;io;;io;íes;(female);íes;;;;;;;ma;(female);ma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
you;;;;;;;;;;;;;;;;;;;;;;;;kev;;kev;gai;;gai;gev;(singular) (male);gev;;;;;;;do;(singular) (male);do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
you;;;;;;;;;;;;;;;;;;;;;;;;šem;;šem;ise;;ise;šem;(singular) (female);šem;;;;;;;da;(singular) (female);da;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
he;;;;;;;;;;;;;;;;;;;;;;;;xe;;xe;ixi;;ixi;xet;;xet;;;;;;;to;;to;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
it;;;;;;;;;;;;;;;;;;;;;;;;xe;;xe;ixi;;ixi;xet;(male);xet;;;;;;;to;(male);to;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
it;;;;;;;;;;;;;;;;;;;;;;;;;;;ixi;;ixi;xek;(fire);xek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
it;;;;;;;;;;;;;;;;;;;;;;;;;;;ixeu;;ixeu;xex;(earth);xex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
she;;;;;;;;;;;;;;;;;;;;;;;;tol;;tol;dōe;;dōe;dole;;dole;;;;;;;ta;;ta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
it;;;;;;;;;;;;;;;;;;;;;;;;tol;;tol;dōe;;dōe;dole;(female);dole;;;;;;;ta;(female);ta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
it;;;;;;;;;;;;;;;;;;;;;;;;;;;dōai;;dōai;dolev;(water);dolev;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
it;;;;;;;;;;;;;;;;;;;;;;;;;;;dōeu;;dōeu;doleh;(air);doleh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
it;;;;;;;;;;;;;;;;;;;;;;;;;;;dōo;;dōo;dolel;(plant);dolel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
we;;;;;;;;;;;;;;;;;;;;;;;;kof;;kof;koife;;koife;kofe;(male);kofe;;;;;;;mos;(male);mos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
we;;;;;;;;;;;;;;;;;;;;;;;;šel;;šel;isēo;;isēo;šeles;(female);šeles;;;;;;;mas;(female);mas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
you;;;;;;;;;;;;;;;;;;;;;;;;rol;;rol;rōo;;rōo;rolel;(plural) (male);rolel;;;;;;;dos;(plural) (male);dos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
you;;;;;;;;;;;;;;;;;;;;;;;;rol;;rol;rōo;;rōo;roles;(plural) (female);roles;;;;;;;das;(plural) (female);das;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
they ;;;;;;;;;;;;;;;;;;;;;;;;xèl;;xèl;ixito;;ixito;xétel;(male);xétel;;;;;;;tos;(male);tos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
they;;;;;;;;;;;;;;;;;;;;;;;;tole;;tole;dōite;;dōite;doléte;(female);doléte;;;;;;;tas;(female);tas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
they;;;;;;;;;;;;;;;;;;;;;;;;;;;dōitai;;dōitai;dolétev;(water);dolétev;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
they;;;;;;;;;;;;;;;;;;;;;;;;;;;dōiteu;;dōiteu;doléteh;(air);doléteh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
they;;;;;;;;;;;;;;;;;;;;;;;;;;;dōito;;dōito;dolétel;(plant);dolétel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
they;;;;;;;;;;;;;;;;;;;;;;;;;;;ixiti;;ixiti;xétek;(fire);xétek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
they;;;;;;;;;;;;;;;;;;;;;;;;;;;ixiteu;;ixiteu;xétex;(earth);xétex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to farm;atililia;;atililia;verb;;;;;;;;;;;;;;;;;;;;hèlge;;hèlge;ixēge;;ixēge;hélge;;hélge;;;;;;;;;;;;;;;;patáke;;patake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to stop;aþac;;aþac;verb;;;;;;;;;;;;;;;;;;;;dèshe;;dèshe;dēehe;;dēehe;désehe;;désehe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to use;bevlatiñe;;bevlatiñe;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new;ini;;ini;adjective;;;;;;;;;;;çóròmò;;çoromo;ʃorm;;ʃorm;çormo;;çormo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
more;eðe;;eðe;adjective;;;;;;;;;;;çóròmò;;çoromo;ʃorm;;ʃorm;çormo;;çormo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
belonging to;ad;;ad;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to instruct;adelañate;;adelañate;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
plus;eðe;;eðe;conjunction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
city;javlu;;javlu;noun;;;;;;;;;;;;;;;;;;;;èxrèxre;;èxrèxre;egega;;egega;égrégra;;égrégra;;;;;;;;;;;;;pzáj;solar or lunar, depending on the city in question;pzáj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
river;voltom;;voltom;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tri;;tri;;;;;;;;;;;;;;;;;;;;;;;;;;;
earth;erþ;;erþ;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zhi bukúke;go yazhiká;ži bukuke;;;;;;;;;;;;;;;;;;;;;;çaju;;çaju;çaʝy;;çaʝy;;;;;;;;;
whole;juiþ;;juiþ;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to happen;eplis;;eplis;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to find;olocil;;olocil;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;namési;;namesi;;;;;;;;;;;;;;;;;;;;;;;;;;;;namesi;;namesi;namóemasu;;namóemasu;;;
land;plimotem;;plimotem;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çaju;;çaju;çaʝy;;çaʝy;;;;;;;;;
while;aval;;aval;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to live;ecil;þepete verb;ecil;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;lik´ile;;lik´ile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to allow;iplimot;þepete verb;iplimot;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
palace;olovgri;;olovgri;noun;;;;;;;;;;;;;;ʃəngəbi;inanimate, -t;ʃəngəbi;çongobin;;çongobin;;;;;;;;;;;;;;;;;;;;;;;;;zhi nazamégo;go yazhiká;ži nazamego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
parent;aðmi;;aðmi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nənangə;;nənangə;nənangə;;nənangə;;;;;;;;;
telofte;telofte;type of dress that indicates element (imported word);telofte;noun;;;;;;;;;;;;;;;;;;;;telofte;type of dress that indicates element;telofte;dēoifēta;;dēoifēta;delofentat;type of dress that indicates element;delofentat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flame;flac;;flac;noun;;;;;;;;tšilma;;tšilma;;;;;;;;;;;;;;;;éželameš;;éželameš;;;;;;;blama;;blama;;;;aastshu;solar;aastshu;;;;;;;;;;;;;;;;;;;;;;;;;ɣøgojun;;ɣøgojun;ɣøgoʝyn;;ɣøgoʝyn;;;;;;;;;
snow;fata;;fata;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ønø;;ønø;ønø;;ønø;;;;;;;;;
wind;beni;;beni;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;viçviç;;viçviç;viçziç;;viçziç;;;;;;;;;
berry;agli;;agli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
orange;añamo;;añamo;adjective;;;;;;;;;;;wàmèlì;-t in plurals;wameli;;;;vamria;;vamria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;naranja;orange;
rainbow;atasoli;;atasoli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
also;ðet;;ðet;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;también;aussi;
yellow;arca;;arca;adjective;;;;;;;;;;;kólòzá;;koloza;;;;grosa;;grosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;amarillo;jaune;
green;veða;;veða;adjective;;;;;;;;;;;wèrè;;were;;;;vəri;;vəri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;verde;vert;
blue;blig;;blig;adjective;;;;;;;;;;;tábààrà;;tabaara;;;;tabakra;;tabakra;;;;;;;;;;;;;;;;;;;;;;;;;gizé;;gize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;azúl;bleu;
purple;lilañu;;lilañu;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;violeta;violet;
colour;marli;;marli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tailor;itrij;;itrij;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arm;ñomo;;ñomo;noun;;;;;;;;;;;àlèmò;animate, -;alemo;trəm;animate, -;trəm;atrəmo;animate;atrəmo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eye;bið;;bið;noun;;;;;;;;;;;çémèlì;animate, -t;çemeli;xəmri;animate, -;xəmri;xemria;animate;xemria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
head;tof;;tof;noun;;;;;;;;;;;tõpnà;animate, -;tõpna;tomp;animate, -b;tomp;tonba;animate;tonba;;;;;;;;;;;;;;;;keløme;;keløme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
foot;clet;;clet;noun;;;;;;;;;;;kéʝéɲà;animate, -;keʝeɲa;kəxe;animate, -n;kəxe;kexeɲa;animate;kexeɲa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heart;;;;;;;;;;;;;;;põbònõ;animate, -t;põbonõ;bomb;animate, -ən;bomb;bonbon;animate;bonbon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
finger;;;;;;;;;;;;;;;tíìnà;animate, -;tiina;tik;animate, -n;tik;tikna;animate;tikna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
knee;;;;;;;;;;;;;;;kólòʝá;animate, -;koloʝa;krəx;animate, -;krəx;kroxa;animate;kroxa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blood;;;;;;;;;;;;;;;põʝónù;magic, -;põʝonu;beix;magic, -;beix;bonxi;magic;bonxi;;;;;;;;;;;;;;;;gromo;;gromo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
warm;catri;;catri;adjective;;;;;;;;;;;çálînà;;çalîna;ʃətri;;ʃətri;çatrina ;;çatrina ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cold;pecatri;;pecatri;adjective;;;;;;;;;;;péʝálînà;;peʝalîna;pəʒətri;;pəʒətri;peçatrina;;peçatrina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heavy;;;;;;;;;;;;;;;ùwûtnà;;uwûtna;vun;;vun;ufunda;;ufunda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sharp;;;;;;;;;;;;;;;kàbînklà;;kabînkla;gəbingr;;gəbingr;gabingra;;gabingra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
few;namle;;namle;adjective;;;;;;;;;;;péhîçnà;;pehîçna;pəhunh;;pəhunh;pehunça;;pehunça;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
horse;;;;;;;;;;;;;;;màʝórà;animate, -;maʝora;məxor;animate, -;məxor;maxora;animate;maxora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ririo;;ririo;riri;;riri;;;;;;;;;
duck;;;;;;;;;;;;;;;tùhûdónò;inanimate, -;tuhûdono;dəhun;inanimate, -;dəhun;duhunte;inanimate;duhunte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kaekaeo;;kaekaeo;kaekae;;kaekae;;;;;;;;;
spear;;;;;;;;;;;;;;;kàbînkélè;inanimate, -;kabînkele;gəbingr;inanimate, -;gəbingr;gabingre;inanimate;gabingre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fire;flacretem;;flacretem;noun;;;;;;;;;;;çálînà;animate, -;çalîna;ʃətri;animate, -n;ʃətri;çatrina ;animate;çatrina ;xíte;;xíte;;;;xítete;;xítete;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ɣøgo;;ɣøgo;ɣøgo;;ɣøgo;;;;;;;;;
person;;;;;;;;;;;;;;;çùrà;animate, -;çura;ʒur;animate;ʒur;ʝura;animate;ʝura;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çuçuo;;çuçuo;çyçy;;çyçy;;;;;;;;;
spice;aðwam;;aðwam;noun;;;;;;;;;;;ʃúm;inanimate, -t;ʃum;ʃəm;inanimate, -t;ʃəm;ʃum;inanimate;ʃum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eagle;;;;;;;;;;;;;;;ʃèlì;animate, -t;ʃeli;ʒəli;animate, -;ʒəli;ʒelia;animate;ʒelia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dirt;;;;;;;;;;;;;;;nèʝé;inanimate, -;neʝe;nəx;inanimate, -;nəx;nexe;inanimate;nexe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sheep;;;;;;;;;;;;;;;sébè;inanimate, -;sebe;sep;inanimate, -b;sep;sepe;inanimate;sepe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to be equivalent to;;;;;;;;;;;;;;;kólò;;kolo;krə;;krə;krot;;krot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
how;viho;;viho;pronoun;;;;;;;;;;;tólòbè;;tolobe;drop;;drop;dropi;;dropi;kofine;;kofine;koifīa;;koifīa;kofina;;kofina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to pass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;badb´i;;badb´i;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to reside;ecil;þepete verb;ecil;verb;;;;;;;;;;;tólòbò;;tolobo;;;;trobot;;trobot;gronaxan;;gronaxan;gōaixa;;gōaixa;gronaxan;;gronaxan;;;;lik´ile;;lik´ile;;;;;;;;;;namesódo;;namesodo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
where;vici;;vici;pronoun;;;;;;;;;;;wìhá;;wiha;;;;wiha;;wiha;kovulše;;kovulše;koivūisa;;koivūisa;kovulša;;kovulša;;;;tobun;;tobun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sibling;amari;;amari;noun;;;;;;;;;;;tó;(only younger) animate, -;to;;;;to;animate;to;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child;cile;;cile;noun;;;;;;;;;;;tòrà;animate, -;tora;;;;dora;animate;dora;;;;;;;;;;;;;;;;;;;;;;;;;sü bizéti;go yazhiká;sü bizeti;;;;nami;;nami;;;;;;;;;;;;;;;;tirini;;tirini;tirine;;tirine;;;;;;;;;
brother;amarilan;;amarilan;noun;;;;;;;;;;;síbà;(only older) animate, -;siba;;;;sipa;animate;sipa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çunpeo;;çunpeo;çynte;;çynte;;;;;;;;;
sister;amariðra;;amariðra;noun;;;;;;;;;;;sìbà;(only older) animate, -;siba;;;;ziba;animate;ziba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;denpeo;;denpeo;dente;;dente;;;;;;;;;
mother;aðmiðra;;aðmiðra;noun;;;;;;;;;;;màmà;animate, -;mama;;;;mama;animate;mama;;;;;;;;;;;;;;;;;;;;;;;;;sü mamá;go yazhiká;sü mama;;;;;;;;;;;;;;;;;;;;;;manopo;;manopo;manoto;;manoto;;;;;;;;;
father;aðmilan;;aðmilan;noun;;;;;;;;;;;pábà;animate, -;paba;;;;papa;animate;papa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;panopo;;panopo;panoto;;panoto;;;;;;;;;
son;cilelan;;cilelan;noun;;;;;;;;;;;tò;animate, -;to;;;;do;animate;do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çunambo;;çunambo;çynando;;çynando;;;;;;;;;
daughter;cileðra;;cileðra;noun;;;;;;;;;;;tò;animate, -;to;;;;do;animate;do;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;divenbo;;divenbo;dizendo;;dizendo;;;;;;;;;
grandparent;aðmigli;;aðmigli;noun;;;;;;;;;;;kélìbélè;magic, -;kelibele;;;;gripli;magic;gripli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grandmother;aðmigliðra;;aðmigliðra;noun;;;;;;;;;;;kèlìbélè;magic, -;kelibele;;;;gripli;magic;gripli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;manopotufuo;;manopotufuo;manototusu;;manototusu;;;;;;;;;
grandfather;aðmiglilan;;aðmiglilan;noun;;;;;;;;;;;kélìbélè;magic, -;kelibele;;;;gripli;magic;gripli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;panopotufuo;;panopotufuo;panototusu;;panototusu;;;;;;;;;
uncle;adaðmi;for parent's sibling;adaðmi;noun;;;;;;;;;;;kézíbà;animate, -;keziba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çunmeno;;çunmeno;çynneno;;çynneno;;;;;;;;;
aunt;adaðmi;for parent's sibling;adaðmi;noun;;;;;;;;;;;kèzìbà;animate, -;keziba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;denmeno;;denmeno;denneno;;denneno;;;;;;;;;
